85,1,0.101882
85,1,0.101838
85,1,0.101836
85,2,0.051241
85,2,0.051184
85,2,0.051266
85,4,0.025833
85,4,0.025898
85,4,0.025852
85,8,0.013219
85,8,0.013226
85,8,0.013272
85,16,0.007182
85,16,0.007111
85,16,0.007130
85,24,0.007486
85,24,0.005325
85,24,0.005704
85,32,0.004751
85,32,0.013099
85,32,0.017206
1150,1,17.887423
1150,1,17.879187
1150,1,17.873925
1150,2,9.012180
1150,2,9.011917
1150,2,9.018204
1150,4,4.519742
1150,4,4.517447
1150,4,4.519746
1150,8,2.286581
1150,8,2.272634
1150,8,2.288222
1150,16,1.170721
1150,16,1.178298
1150,16,1.164016
1150,24,0.804754
1150,24,0.802010
1150,24,0.802001
1150,32,0.618561
1150,32,0.624913
1150,32,0.629308
